Time,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolum5,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolum5,OrderBuyNum,OrderSellNum,OrderBuyVolume,OrderSellVolume,TradeBuyNum,TradeSellNum,TradeBuyVolume,TradeSellVolume,TradeBuyAmount,TradeSellAmount,LastPrice,Return5min
93000000,5025,5024,5022,5020,5018,42640,114800,32100,1500,900,5039,5040,5043,5045,5048,1500,500,1800,500,10100,819,2016,3576400,2998260,1005,344,1321700,637900,6641542500,3205447500,5025,0.16049382716049382
93000500,5075,5070,5069,5067,5064,723800,3700,25100,500,7900,5088,5136,5139,5145,5148,1400,400,1300,200,600,300,280,1916200,544300,163,165,148700,302300,757378400,1528723240,5134,0.15223556890223558
93001000,5095,5090,5089,5084,5075,5900,600,1600,25700,703500,5150,5151,5155,5158,5159,1400,1000,1900,500,300,173,145,229700,112900,43,71,20300,39000,104024400,198337400,5095,0.14468191684755385
93001500,5133,5129,5120,5110,5106,9300,2100,200,700,4400,5146,5148,5150,5151,5155,900,100,1500,1000,1900,163,95,286000,97300,5,52,23500,33200,119586100,169889900,5133,0.1419150179480758
93002000,5151,5149,5134,5133,5129,134600,11000,1200,8900,2100,5158,5159,5160,5162,5166,200,300,600,2900,1400,140,68,301900,85900,17,43,14900,29500,76725100,151561800,5151,0.14163197335553704
93002500,5151,5149,5146,5139,5136,109900,11000,1000,100,400,5155,5158,5159,5160,5162,1000,3700,300,700,2900,96,56,117100,52900,4,21,1200,24800,6189600,127751100,5158,0.14209606259885124
93003000,5151,5149,5146,5140,5139,120500,11600,2100,1800,600,5155,5178,5179,5180,5183,100,2600,100,2200,800,86,40,112600,30200,26,16,15000,19300,77453600,99481800,5178,0.14216747128350257
93003500,5151,5149,5147,5146,5140,114100,11600,8700,5600,1800,5189,5190,5194,5195,5196,200,1100,300,500,1600,107,33,194700,27300,20,11,7600,11600,39374900,59944000,5151,0.1393374396537373
93004000,5176,5151,5149,5147,5146,400,96200,11600,12000,5600,5190,5194,5195,5196,5197,1100,300,500,1600,1200,77,30,77000,41300,3,11,300,24200,1553400,124695800,5151,0.13681405612457323
93004500,5179,5155,5153,5152,5151,10000,4700,500,1500,28500,5196,5197,5198,5199,5200,600,1200,6700,7700,50800,130,31,148400,24400,13,14,4900,10400,25418700,53621700,5179,0.12388110116534369
93005000,5182,5179,5176,5162,5158,7600,2400,400,100,5400,5192,5200,5201,5205,5207,1000,28000,200,1300,1000,81,24,166200,33000,60,26,39700,14500,206404900,75116200,5182,0.12381756756756757
93005500,5188,5184,5182,5179,5176,1100,25100,1100,20500,400,5190,5192,5198,5199,5200,900,1000,200,1400,28000,84,32,273400,53600,6,10,2900,7200,15051000,37312500,5190,0.12775256345604302
93006000,5196,5184,5182,5179,5176,500,13700,8000,24500,400,5200,5201,5205,5207,5209,21300,200,1300,1000,500,87,25,189100,28900,15,6,11900,12500,61854000,64804400,5200,0.12616626040178197
93006500,5194,5184,5183,5182,5179,1400,9500,1100,11000,29700,5200,5201,5205,5207,5209,20900,200,1300,1000,500,106,31,108400,18300,8,12,1700,6200,8838300,32161800,5184,0.1275077646268782
93007000,5184,5182,5179,5176,5175,400,11500,29700,400,100,5200,5201,5205,5207,5209,18700,200,1300,1000,500,46,14,26800,18800,4,6,2200,10600,11440000,54966600,5184,0.12171191744904
93007500,5205,5203,5200,5196,5195,112200,37500,13400,1900,900,5209,5210,5212,5218,5220,1600,100,100,600,100,148,35,379400,90300,51,31,21500,84500,111813500,439135900,5205,0.11813023964772632
93008000,5205,5203,5200,5198,5197,77200,37500,14600,300,1800,5222,5223,5225,5228,5230,100,300,64800,1600,1000,48,21,52900,46800,20,17,2500,40700,13029400,211929000,5205,0.11523122613491726
93008500,5205,5203,5200,5198,5197,128800,37500,19200,300,1800,5225,5228,5230,5231,5232,59500,1600,14600,21300,100,100,18,289000,31500,8,11,5700,15700,29781600,81718500,5205,0.11279346716570263
93009000,5205,5203,5200,5198,5197,122500,37500,28900,300,1800,5225,5228,5230,5231,5232,57400,1600,14600,21300,100,60,15,255200,21300,2,10,2400,6400,12540000,33312900,5205,0.1096884336320956
93009500,5205,5203,5201,5200,5199,109300,37500,38700,28900,50000,5225,5228,5230,5231,5232,54600,1600,14600,21300,100,64,16,146300,22200,1,10,3800,14500,19855000,75475300,5205,0.10740265297389816
93010000,5208,5205,5203,5201,5200,7600,109100,37500,38700,34100,5225,5228,5230,5231,5232,52900,1600,14600,21300,100,42,17,59800,20700,3,14,1800,16000,9403400,83327400,5208,0.10438664263026869
93010500,5211,5210,5207,5205,5201,6500,20400,13500,98300,38900,5225,5228,5230,5231,5232,2300,1600,14600,21300,100,133,20,155200,30700,64,29,51300,27800,268039000,144775300,5211,0.10405219780219781
93011000,5225,5211,5210,5209,5207,1200,4300,20400,2600,14500,5231,5232,5233,5235,5236,21100,100,100,1700,2000,64,22,114300,45800,15,19,18700,35700,97786500,186669200,5230,0.10233516483516483
93011500,5230,5225,5211,5210,5209,69100,9600,9100,23400,1700,5231,5232,5233,5235,5236,18400,100,100,1700,2000,44,23,161900,54800,7,34,2700,54300,14123700,283031800,5231,0.10175167439464193
93012000,5230,5227,5226,5225,5211,51000,49600,20300,61700,9100,5231,5232,5233,5235,5236,6800,100,100,1700,2000,78,11,186100,28000,6,10,11600,18100,60679600,94663000,5231,0.10067056396148556
93012500,5230,5227,5226,5225,5211,35200,49600,20300,61900,9100,5231,5232,5233,5235,5236,4500,100,100,1700,2000,42,9,25000,16300,3,10,2300,16400,12031300,85772000,5230,0.10329161666380936
93013000,5230,5227,5226,5225,5211,11400,49600,20300,65300,9100,5231,5232,5233,5235,5236,1500,100,100,1700,2000,25,19,19000,24600,3,16,3000,23800,15693000,124474000,5230,0.10405960945529291
93013500,5248,5245,5231,5230,5228,53000,1400,10200,14700,9200,5250,5252,5253,5255,5256,9900,1200,200,3500,400,45,13,109400,9300,30,12,18700,6800,98014000,35640500,5248,0.09764483410692797
93014000,5248,5245,5240,5238,5232,39700,1400,900,100,1200,5250,5252,5253,5255,5256,6200,1200,200,3500,400,21,15,17300,14400,11,15,3700,13300,19425000,69798400,5248,0.1054111631870473
93014500,5248,5247,5245,5240,5238,28300,21600,23600,900,100,5250,5252,5253,5255,5256,1200,1200,200,3500,400,49,15,129400,11800,11,15,3200,11600,16800000,60877000,5250,0.10525867212136708
93015000,5252,5248,5247,5245,5240,600,28000,24700,34500,900,5255,5256,5258,5259,5260,2600,400,1100,200,5500,61,16,57100,14400,16,27,3400,14400,17857000,75577900,5248,0.10165868673050615
93015500,5247,5245,5242,5240,5238,4600,28400,1000,900,100,5255,5256,5258,5259,5260,1300,400,1100,200,5500,79,19,67900,74400,6,85,1300,72700,6831500,381524500,5245,0.10208618331053351
93016000,5250,5249,5248,5247,5245,10700,600,200,5100,30900,5260,5265,5266,5267,5270,4900,1500,2400,300,1500,48,16,56300,10300,15,31,3600,10300,18925500,54074600,5250,0.09777663318739806
93016500,5262,5260,5250,5247,5245,5400,3800,400,5900,19600,5265,5266,5267,5270,5275,1500,2400,300,1500,100,98,25,30300,27800,17,81,5600,26200,29441400,137520000,5262,0.09724723437098019
93017000,5262,5260,5252,5250,5249,600,6900,3800,700,400,5270,5275,5277,5278,5279,900,100,900,100,4100,88,22,56800,28200,10,82,4800,26400,25278000,138906200,5262,0.09581043956043957
93017500,5262,5260,5256,5252,5250,11000,4200,300,3900,700,5280,5281,5284,5285,5286,9000,1200,4300,700,1200,87,24,55700,22300,10,74,9400,21200,49615500,111551400,5262,0.09843496108783033
93018000,5267,5266,5262,5260,5252,17500,600,6000,8500,4000,5280,5281,5284,5285,5286,6900,1200,4300,700,1200,70,24,64700,32300,5,56,2000,31300,10560000,164711600,5267,0.09382249334135236
93018500,5267,5266,5264,5262,5260,15100,700,600,9500,10500,5288,5289,5290,5293,5294,64600,400,8900,400,1000,54,17,86200,15900,22,31,15900,13800,83993900,72689700,5267,0.09313514906778933
93019000,5270,5268,5267,5266,5264,300,1700,300,38000,700,5288,5289,5290,5293,5294,62700,400,9300,400,1000,72,17,71900,42700,3,63,2200,40200,11626200,211611200,5270,0.0915505076578902
93019500,5266,5264,5262,5260,5252,23500,700,14300,2900,4700,5287,5288,5289,5290,5293,500,33300,400,9300,400,88,37,55300,31900,51,50,30200,29700,159691700,156437800,5287,0.09268334622990285
93020000,5252,5250,5249,5248,5247,4900,4900,9800,6900,24000,5265,5266,5287,5288,5289,9400,1500,700,33300,400,72,48,45200,78900,53,94,10200,50000,53703000,263146300,5252,0.09515615589778886
