feature,importance
minute_of_day,21.95169149711728
D_vol_10s,4.848746810108423
E_spread_ratio,4.499488398432732
is_morning,4.068223677575588
A_lead_E_2,2.6216117050498724
E_ret_1s,2.51083879545331
A_ret_1s,2.0921610929071903
D_momentum_10,2.0290860887616873
is_afternoon,1.7448581997305155
A_lead_E_1,1.2348292954266071
A_vol_10s,1.133016798645258
C_spread_ratio,1.1208430007100105
C_spread_change,1.0351727157831192
E_ret_10s,0.9668307080864906
A_spread_ratio,0.876355605199933
E_order_ratio,0.7743388991802931
B_vol_10s,0.7655590996146202
C_momentum_10,0.5824184007942677
E_ret_1min,0.4679843932390213
E_vol_10s,0.38443170860409737
C_ret_1s,0.3050060011446476
C_ret_1min,0.20294500142335892
A_ret_10s,0.18213700503110886
B_momentum_10,0.1575821004807949
C_momentum_5,0.13161860033869743
B_spread_ratio,0.09099719859659672
A_large_order_net,0.06686249747872353
C_vol_10s,0.023798199370503426
B_ret_1s,0.0
B_ret_10s,0.0
E_C_corr_25s,0.0
B_ret_1min,0.0
D_ret_1s,0.0
A_momentum_10,0.0
E_large_order_net,0.0
C_order_ratio,0.0
D_spread_ratio,0.0
D_ret_1min,0.0
D_ret_10s,0.0
B_vol_1min,0.0
C_large_order_net,0.0
C_ret_10s,0.0
A_ret_1min,0.0
B_ret_1s_lag1,0.0
C_vol_1min,0.0
E_A_corr_25s,0.0
D_order_ratio,0.0
D_vol_1min,0.0
D_momentum_5,0.0
near_close,0.0
E_ret_1s_lag1,0.0
B_trade_ratio,0.0
E_B_corr_25s,0.0
E_trade_ratio,0.0
B_momentum_5,0.0
D_large_order_net,0.0
E_spread_change,0.0
B_spread_change,0.0
A_spread_change,0.0
A_order_ratio,0.0
B_large_order_net,0.0
D_spread_change,0.0
A_vol_1min,0.0
A_momentum_5,0.0
C_trade_ratio,0.0
E_vol_1min,0.0
D_ret_1s_lag1,0.0
B_order_ratio,0.0
A_ret_1s_lag1,0.0
E_D_corr_25s,0.0
A_ret_1s_lag10,0.0
E_sector_relative_strength,0.0
C_ret_1s_lag5,0.0
D_ret_1s_lag10,0.0
A_trade_ratio,0.0
C_ret_1s_lag10,0.0
E_ret_1s_lag10,0.0
D_ret_1s_lag5,0.0
C_ret_1s_lag1,0.0
A_ret_1s_lag5,0.0
